ACE, ACE, ACE, SIX, SIX, FH, Aces Full over Sixes, false, 174 
ACE, ACE, ACE, FIVE, FIVE, FH, Aces Full over Fives, false, 175 
ACE, ACE, ACE, FOUR, FOUR, FH, Aces Full over Fours, false, 176 
ACE, ACE, ACE, THREE, THREE, FH, Aces Full over Treys, false, 177 
ACE, ACE, ACE, DEUCE, DEUCE, FH, Aces Full over Deuces, false, 178 
KING, KING, KING, ACE, ACE, FH, Kings Full over Aces, false, 179 
KING, KING, KING, QUEEN, QUEEN, FH, Kings Full over Queens, false, 180 
KING, KING, KING, JACK, JACK, FH, Kings Full over Jacks, false, 181 
KING, KING, KING, TEN, TEN, FH, Kings Full over Tens, false, 182 
KING, KING, KING, NINE, NINE, FH, Kings Full over Nines, false, 183 
KING, KING, KING, EIGHT, EIGHT, FH, Kings Full over Eights, false, 184 
KING, KING, KING, SEVEN, SEVEN, FH, Kings Full over Sevens, false, 185 
KING, KING, KING, SIX, SIX, FH, Kings Full over Sixes, false, 186 
KING, KING, KING, FIVE, FIVE, FH, Kings Full over Fives, false, 187 
KING, KING, KING, FOUR, FOUR, FH, Kings Full over Fours, false, 188 
KING, KING, KING, THREE, THREE, FH, Kings Full over Treys, false, 189 
KING, KING, KING, DEUCE, DEUCE, FH, Kings Full over Deuces, false, 190 
QUEEN, QUEEN, QUEEN, ACE, ACE, FH, Queens Full over Aces, false, 191 
QUEEN, QUEEN, QUEEN, KING, KING, FH, Queens Full over Kings, false, 192 
QUEEN, QUEEN, QUEEN, JACK, JACK, FH, Queens Full over Jacks, false, 193 
QUEEN, QUEEN, QUEEN, TEN, TEN, FH, Queens Full over Tens, false, 194 
QUEEN, QUEEN, QUEEN, NINE, NINE, FH, Queens Full over Nines, false, 195 
QUEEN, QUEEN, QUEEN, EIGHT, EIGHT, FH, Queens Full over Eights, false, 196 
QUEEN, QUEEN, QUEEN, SEVEN, SEVEN, FH, Queens Full over Sevens, false, 197 
QUEEN, QUEEN, QUEEN, SIX, SIX, FH, Queens Full over Sixes, false, 198 
QUEEN, QUEEN, QUEEN, FIVE, FIVE, FH, Queens Full over Fives, false, 199 
QUEEN, QUEEN, QUEEN, FOUR, FOUR, FH, Queens Full over Fours, false, 200 
QUEEN, QUEEN, QUEEN, THREE, THREE, FH, Queens Full over Treys, false, 201 
QUEEN, QUEEN, QUEEN, DEUCE, DEUCE, FH, Queens Full over Deuces, false, 202 
JACK, JACK, JACK, ACE, ACE, FH, Jacks Full over Aces, false, 203 
JACK, JACK, JACK, KING, KING, FH, Jacks Full over Kings, false, 204 
JACK, JACK, JACK, QUEEN, QUEEN, FH, Jacks Full over Queens, false, 205 
JACK, JACK, JACK, TEN, TEN, FH, Jacks Full over Tens, false, 206 
JACK, JACK, JACK, NINE, NINE, FH, Jacks Full over Nines, false, 207 
JACK, JACK, JACK, EIGHT, EIGHT, FH, Jacks Full over Eights, false, 208 
JACK, JACK, JACK, SEVEN, SEVEN, FH, Jacks Full over Sevens, false, 209 
JACK, JACK, JACK, SIX, SIX, FH, Jacks Full over Sixes, false, 210 
JACK, JACK, JACK, FIVE, FIVE, FH, Jacks Full over Fives, false, 211 
JACK, JACK, JACK, FOUR, FOUR, FH, Jacks Full over Fours, false, 212 
JACK, JACK, JACK, THREE, THREE, FH, Jacks Full over Treys, false, 213 
JACK, JACK, JACK, DEUCE, DEUCE, FH, Jacks Full over Deuces, false, 214 
TEN, TEN, TEN, ACE, ACE, FH, Tens Full over Aces, false, 215 
TEN, TEN, TEN, KING, KING, FH, Tens Full over Kings, false, 216 
TEN, TEN, TEN, QUEEN, QUEEN, FH, Tens Full over Queens, false, 217 
TEN, TEN, TEN, JACK, JACK, FH, Tens Full over Jacks, false, 218 
TEN, TEN, TEN, NINE, NINE, FH, Tens Full over Nines, false, 219 
TEN, TEN, TEN, EIGHT, EIGHT, FH, Tens Full over Eights, false, 220 
TEN, TEN, TEN, SEVEN, SEVEN, FH, Tens Full over Sevens, false, 221 
TEN, TEN, TEN, SIX, SIX, FH, Tens Full over Sixes, false, 222 
TEN, TEN, TEN, FIVE, FIVE, FH, Tens Full over Fives, false, 223 
TEN, TEN, TEN, FOUR, FOUR, FH, Tens Full over Fours, false, 224 
TEN, TEN, TEN, THREE, THREE, FH, Tens Full over Treys, false, 225 
TEN, TEN, TEN, DEUCE, DEUCE, FH, Tens Full over Deuces, false, 226 
NINE, NINE, NINE, ACE, ACE, FH, Nines Full over Aces, false, 227 
NINE, NINE, NINE, KING, KING, FH, Nines Full over Kings, false, 228 
NINE, NINE, NINE, QUEEN, QUEEN, FH, Nines Full over Queens, false, 229 
NINE, NINE, NINE, JACK, JACK, FH, Nines Full over Jacks, false, 230 
NINE, NINE, NINE, TEN, TEN, FH, Nines Full over Tens, false, 231 
NINE, NINE, NINE, EIGHT, EIGHT, FH, Nines Full over Eights, false, 232 
NINE, NINE, NINE, SEVEN, SEVEN, FH, Nines Full over Sevens, false, 233 
NINE, NINE, NINE, SIX, SIX, FH, Nines Full over Sixes, false, 234 
NINE, NINE, NINE, FIVE, FIVE, FH, Nines Full over Fives, false, 235 
NINE, NINE, NINE, FOUR, FOUR, FH, Nines Full over Fours, false, 236 
NINE, NINE, NINE, THREE, THREE, FH, Nines Full over Treys, false, 237 
NINE, NINE, NINE, DEUCE, DEUCE, FH, Nines Full over Deuces, false, 238 
EIGHT, EIGHT, EIGHT, ACE, ACE, FH, Eights Full over Aces, false, 239 
EIGHT, EIGHT, EIGHT, KING, KING, FH, Eights Full over Kings, false, 240 
EIGHT, EIGHT, EIGHT, QUEEN, QUEEN, FH, Eights Full over Queens, false, 241 
EIGHT, EIGHT, EIGHT, JACK, JACK, FH, Eights Full over Jacks, false, 242 
EIGHT, EIGHT, EIGHT, TEN, TEN, FH, Eights Full over Tens, false, 243 
EIGHT, EIGHT, EIGHT, NINE, NINE, FH, Eights Full over Nines, false, 244 
EIGHT, EIGHT, EIGHT, SEVEN, SEVEN, FH, Eights Full over Sevens, false, 245 
EIGHT, EIGHT, EIGHT, SIX, SIX, FH, Eights Full over Sixes, false, 246 
EIGHT, EIGHT, EIGHT, FIVE, FIVE, FH, Eights Full over Fives, false, 247 
EIGHT, EIGHT, EIGHT, FOUR, FOUR, FH, Eights Full over Fours, false, 248 
EIGHT, EIGHT, EIGHT, THREE, THREE, FH, Eights Full over Treys, false, 249 
EIGHT, EIGHT, EIGHT, DEUCE, DEUCE, FH, Eights Full over Deuces, false, 250 
SEVEN, SEVEN, SEVEN, ACE, ACE, FH, Sevens Full over Aces, false, 251 
SEVEN, SEVEN, SEVEN, KING, KING, FH, Sevens Full over Kings, false, 252 
SEVEN, SEVEN, SEVEN, QUEEN, QUEEN, FH, Sevens Full over Queens, false, 253 
SEVEN, SEVEN, SEVEN, JACK, JACK, FH, Sevens Full over Jacks, false, 254 
SEVEN, SEVEN, SEVEN, TEN, TEN, FH, Sevens Full over Tens, false, 255 
SEVEN, SEVEN, SEVEN, NINE, NINE, FH, Sevens Full over Nines, false, 256 
SEVEN, SEVEN, SEVEN, EIGHT, EIGHT, FH, Sevens Full over Eights, false, 257 
SEVEN, SEVEN, SEVEN, SIX, SIX, FH, Sevens Full over Sixes, false, 258 
SEVEN, SEVEN, SEVEN, FIVE, FIVE, FH, Sevens Full over Fives, false, 259 
SEVEN, SEVEN, SEVEN, FOUR, FOUR, FH, Sevens Full over Fours, false, 260 
SEVEN, SEVEN, SEVEN, THREE, THREE, FH, Sevens Full over Treys, false, 261 
SEVEN, SEVEN, SEVEN, DEUCE, DEUCE, FH, Sevens Full over Deuces, false, 262 
SIX, SIX, SIX, ACE, ACE, FH, Sixes Full over Aces, false, 263 
SIX, SIX, SIX, KING, KING, FH, Sixes Full over Kings, false, 264 
SIX, SIX, SIX, QUEEN, QUEEN, FH, Sixes Full over Queens, false, 265 
SIX, SIX, SIX, JACK, JACK, FH, Sixes Full over Jacks, false, 266 
SIX, SIX, SIX, TEN, TEN, FH, Sixes Full over Tens, false, 267 
SIX, SIX, SIX, NINE, NINE, FH, Sixes Full over Nines, false, 268 
SIX, SIX, SIX, EIGHT, EIGHT, FH, Sixes Full over Eights, false, 269 
